ASSERTION	AAEDAAECAwAAAAAAAECvQA==
ASSERTION	AAEDAAEFAAAAAAAAwFdAAwAAAAAAAHCnQA==
ASSERTION	AAEDAAEFAAAAAAAAwFhAAwAAAAAAAFirQA==
ASSERTION	AAECAAIEAAAAAAAAAERA
ASSERTION	AAECAAMDAAAAAAAAAE5A
ASSERTION	AAMAAQ5IYW5kbGUgUmVxdWVzdAMAAQIDAAAAAAAAQK9A
ASSERTION	AAMAAQ5IYW5kbGUgUmVxdWVzdAIAAwMAAAAAAAAATkA=
ASSERTION	AAMAAQ5IYW5kbGUgUmVxdWVzdAMAAQUAAAAAAADAV0ADAAAAAAAAcKdA
ASSERTION	AAMAAQ5IYW5kbGUgUmVxdWVzdAMAAQUAAAAAAADAWEADAAAAAAAAWKtA
ASSERTION	AAEEBAAAAAAAAADgPw==
RUN	com.example.demo.GatlingLoadTest1	gatlingloadtest1	1750281972488	 	3.9.5
USER	Handler Load Test	START	1750281973414
USER	Handler Load Test	START	1750281974336
USER	Handler Load Test	START	1750281976334
REQUEST		Handle Request	1750281973395	1750281977479	OK	 
USER	Handler Load Test	END	1750281978056
USER	Handler Load Test	START	1750281978340
REQUEST		Handle Request	1750281974335	1750281978355	OK	 
USER	Handler Load Test	END	1750281978868
USER	Handler Load Test	START	1750281979337
USER	Handler Load Test	START	1750281980326
REQUEST		Handle Request	1750281976333	1750281980362	KO	status.find.is(200), but actually found 504
USER	Handler Load Test	END	1750281980873
USER	Handler Load Test	START	1750281981325
USER	Handler Load Test	START	1750281982337
REQUEST		Handle Request	1750281978339	1750281982360	KO	status.find.is(200), but actually found 504
USER	Handler Load Test	END	1750281982868
REQUEST		Handle Request	1750281979336	1750281983281	OK	 
USER	Handler Load Test	START	1750281983338
USER	Handler Load Test	END	1750281983792
REQUEST		Handle Request	1750281980326	1750281984279	OK	 
USER	Handler Load Test	START	1750281984330
USER	Handler Load Test	END	1750281984794
REQUEST		Handle Request	1750281981324	1750281985049	OK	 
USER	Handler Load Test	START	1750281985327
USER	Handler Load Test	END	1750281985561
REQUEST		Handle Request	1750281982336	1750281986288	OK	 
USER	Handler Load Test	START	1750281986324
USER	Handler Load Test	END	1750281986791
USER	Handler Load Test	START	1750281987328
REQUEST		Handle Request	1750281983337	1750281987340	OK	 
USER	Handler Load Test	END	1750281987856
USER	Handler Load Test	START	1750281988326
REQUEST		Handle Request	1750281984329	1750281988341	KO	status.find.is(200), but actually found 504
USER	Handler Load Test	END	1750281988843
REQUEST		Handle Request	1750281985326	1750281989307	OK	 
USER	Handler Load Test	START	1750281989331
USER	Handler Load Test	END	1750281989817
REQUEST		Handle Request	1750281986324	1750281990242	OK	 
USER	Handler Load Test	START	1750281990350
USER	Handler Load Test	END	1750281990752
USER	Handler Load Test	START	1750281991332
REQUEST		Handle Request	1750281987327	1750281991336	KO	status.find.is(200), but actually found 504
USER	Handler Load Test	END	1750281991844
REQUEST		Handle Request	1750281988325	1750281992136	OK	 
USER	Handler Load Test	START	1750281992332
USER	Handler Load Test	END	1750281992641
REQUEST		Handle Request	1750281989331	1750281993106	OK	 
USER	Handler Load Test	START	1750281993349
USER	Handler Load Test	END	1750281993615
REQUEST		Handle Request	1750281990349	1750281994305	OK	 
USER	Handler Load Test	START	1750281994338
USER	Handler Load Test	END	1750281994819
REQUEST		Handle Request	1750281991331	1750281995154	OK	 
USER	Handler Load Test	START	1750281995333
USER	Handler Load Test	END	1750281995659
REQUEST		Handle Request	1750281992331	1750281995959	OK	 
USER	Handler Load Test	START	1750281996333
USER	Handler Load Test	END	1750281996472
REQUEST		Handle Request	1750281993348	1750281997130	OK	 
USER	Handler Load Test	START	1750281997330
USER	Handler Load Test	END	1750281997643
REQUEST		Handle Request	1750281994337	1750281998341	OK	 
USER	Handler Load Test	END	1750281998846
REQUEST		Handle Request	1750281995332	1750281999341	KO	status.find.is(200), but actually found 504
USER	Handler Load Test	END	1750281999852
REQUEST		Handle Request	1750281996332	1750282000181	OK	 
USER	Handler Load Test	END	1750282000694
REQUEST		Handle Request	1750281997329	1750282001338	KO	status.find.is(200), but actually found 504
USER	Handler Load Test	END	1750282001851
